"","INSTNM","md_earn_wne_p10.REPORTED.EARNINGS","PREDDEG","index_std","AfterScorecardRelease","HighEarning"
"344","Covenant College",39800,3,-0.0281639189234547,0,0
"345","Creighton University",57800,3,0.0137843738936911,0,1
"346","Crossroads Bible College",26800,3,0.0374740042020761,0,0
"347","Crossroads College",27900,3,0.0740456039443133,0,0
"348","Crown College",31600,3,-0.0519019543589606,0,0
"349","Culver-Stockton College",36100,3,-0.061354306526087,0,0
"350","Cumberland University",35000,3,0.0657894456983421,0,0
"351","CUNY Bernard M Baruch College",54000,3,0.0501787348965452,0,1
"352","CUNY Brooklyn College",44500,3,0.0695818287262534,0,1
"353","CUNY City College",44500,3,0.0987784693228397,0,1
"354","CUNY Hunter College",44800,3,0.084651044693814,0,1
"355","CUNY John Jay College of Criminal Justice",43700,3,0.0251986251512203,0,1
"356","CUNY Lehman College",41500,3,0.0443586510960351,0,1
"357","CUNY Queens College",48000,3,0.0693793781771109,0,1
"358","CUNY York College",38200,3,0.0411721946341658,0,0
"359","Curry College",43600,3,-0.0523297826569852,0,1
"360","D'Youville College",48300,3,-0.0135687368764869,0,1
"361","Daemen College",42900,3,-0.0573242343633197,0,1
"362","Dakota State University",37400,3,-0.0643812756375679,0,0
"363","Dakota Wesleyan University",34100,3,-0.0479058909225165,0,0
"364","Dallas Baptist University",42200,3,0.0659343322896551,0,1
"365","Dallas Christian College",42200,3,0.0546273951936282,0,1
"366","Daniel Webster College",51900,3,-0.0429693587087915,0,1
"367","Dartmouth College",67100,3,-0.00757357116309499,0,1
"368","Davenport University",29900,3,0.152174084123738,0,0
"369","Davidson College",58500,3,0.0962686930145732,0,1
"370","Davis & Elkins College",35900,3,0.00368391025031268,0,0
"371","Defiance College",37000,3,0.0683536415650031,0,0
"372","Delaware State University",34200,3,0.0441041827357519,0,0
"373","Delaware Valley College",42200,3,0.110550637691555,0,1
"374","Delta State University",33800,3,-0.0180654292046586,0,0
"375","Denison University",48600,3,-0.00644126259220486,0,1
"376","DePaul University",50900,3,0.0727215984831554,0,1
"377","DePauw University",47800,3,0.046264965829645,0,1
